en,fr
,Importation et exportation d'or de la Suisse
,100 milliards CHF
,3000 tonnes
,IMPORTATION
,EXPORTATION
,source: Administration fédérale des douanes
,
,% des importations annuelles d’or de la Suisse
,Les 6 principaux pays exportateurs d'or vers la Suisse
,"De tout l'or importé par la Suisse entre 1982 et 2014, le 60% provient de ces 6 pays.  "
Chile,Chili
Peru,Pérou
South Africa,Afrique du Sud
United Kingdom,Royaume-Uni
United States of America,Etats-Unis
USSR/Russia,URSS/Russie
,
,Les 6 principaux pays importateurs d'or de la Suisse
,"De tout l'or exporté par la Suisse entre 1982 et 2014, le 63% a été importé par ces 6 pays.  "
Hong Kong,Hong-Kong
India,Inde
Italy,Italie
Turkey,Turquie
United Arab Emirates,Emirats arabes unis
United Kingdom,Royaume-Uni
